importance,var
0.0014837678534076674,L0_S0_F0
0.0013799271800506749,L0_S0_F2
0.0011482522867519518,L0_S0_F4
0.0009814523645872006,L0_S0_F6
0.0011080547094246256,L0_S0_F8
0.0008873625719138374,L0_S0_F10
0.000912439202233001,L0_S0_F12
0.0009718601646470142,L0_S0_F14
0.0014423911882571255,L0_S0_F16
0.0014992899940626861,L0_S0_F18
0.0018784984026487491,L0_S0_F20
0.0017912619652543577,L0_S0_F22
0.001500404958139532,L0_S1_F24
0.0019636659835337157,L0_S1_F28
0.00028497534660669265,L0_S2_F32
0.0009267020317889818,L0_S2_F36
0.00034367565971052557,L0_S2_F40
0.0012714843096221654,L0_S2_F44
0.0011791211234430876,L0_S2_F48
0.00012969491115756272,L0_S2_F52
0.0004374723290070737,L0_S2_F56
0.0009030871320359303,L0_S2_F60
0.0013848212941394936,L0_S2_F64
0.00035826462017060764,L0_S3_F68
0.0010671901016131922,L0_S3_F72
0.00029559630137738325,L0_S3_F76
0.0012740706310985373,L0_S3_F80
0.0007781979242943855,L0_S3_F84
0.00014653733258194709,L0_S3_F88
0.0002677816663782662,L0_S3_F92
0.0014982714417776293,L0_S3_F96
0.001127814151293317,L0_S3_F100
0.0009055464493876496,L0_S4_F104
0.001118673293116002,L0_S4_F109
0.000896785047610791,L0_S5_F114
0.00077066879509031,L0_S5_F116
0.0002547910977048304,L0_S6_F118
0.0009315398649525218,L0_S6_F122
0.0010080726538168859,L0_S6_F132
0.0003254723797258754,L0_S7_F136
0.0012489897509836182,L0_S7_F138
0.001100557608953326,L0_S7_F142
0.00013552639427179763,L0_S8_F144
0.00022379669011029862,L0_S8_F146
7.070825640695738e-05,L0_S8_F149
0.0008505596727248655,L0_S9_F155
0.000851500314931551,L0_S9_F160
0.0006742028927732419,L0_S9_F165
0.0007850896819964956,L0_S9_F170
0.0005486482791821061,L0_S9_F175
0.0008360715861408198,L0_S9_F180
0.0006365458985662282,L0_S9_F185
0.0007117306633715926,L0_S9_F190
0.0007389556155465166,L0_S9_F195
0.0005910564895179357,L0_S9_F200
0.00021738741841419596,L0_S9_F205
0.0006205558398237165,L0_S9_F210
0.0007736222456770431,L0_S10_F219
0.0008230785877853177,L0_S10_F224
0.0009652039848232558,L0_S10_F229
0.0006210761174370672,L0_S10_F234
0.0005095965801734981,L0_S10_F239
0.0009051616416521472,L0_S10_F244
0.0007035709716604198,L0_S10_F249
0.0007354344651720333,L0_S10_F254
0.0008986705583384974,L0_S10_F259
0.0006576778273239118,L0_S10_F264
0.00022171658193975425,L0_S10_F269
0.0005624614892220052,L0_S10_F274
0.0008090926029836352,L0_S11_F282
0.0006187199863371803,L0_S11_F286
0.000567912462313159,L0_S11_F290
0.0005172928634587841,L0_S11_F294
0.0005632421672365581,L0_S11_F298
0.000637361008868295,L0_S11_F302
0.0007757885660724727,L0_S11_F306
0.0007241909082977085,L0_S11_F310
0.0008038958588457406,L0_S11_F314
0.0008779336116967018,L0_S11_F318
0.0007660353161711501,L0_S11_F322
0.0008735988101716825,L0_S11_F326
0.0007900759272112499,L0_S12_F330
0.0004995609422214262,L0_S12_F332
0.0004782701535419917,L0_S12_F334
0.0005419781323899682,L0_S12_F336
0.00020176992046927616,L0_S12_F338
0.0002161505666246852,L0_S12_F340
0.0002970934085381358,L0_S12_F342
0.0003551488049479973,L0_S12_F344
0.0005260081124168664,L0_S12_F346
0.0005527041319308063,L0_S12_F348
0.0006782167111219942,L0_S12_F350
0.0006674036518681625,L0_S12_F352
0.0006161440312310384,L0_S13_F354
0.00067675443399961,L0_S13_F356
0.00020979160094218083,L0_S14_F358
0.00036106454028876964,L0_S14_F362
0.0001432049128541721,L0_S14_F366
0.000554628513499293,L0_S14_F370
0.00026194878614442237,L0_S14_F374
0.0001040137643507534,L0_S14_F378
0.0001607025354599267,L0_S14_F382
0.00035451285113574573,L0_S14_F386
0.0005121660968034147,L0_S14_F390
0.00016011655777490907,L0_S15_F394
0.0002936587432349209,L0_S15_F397
0.00022573538526079217,L0_S15_F400
0.00018635577977577759,L0_S15_F403
0.00024836018271089024,L0_S15_F406
8.300479266357857e-05,L0_S15_F409
0.00011891379233811751,L0_S15_F412
0.000300646603577198,L0_S15_F415
0.00033656472617465293,L0_S15_F418
0.0006717790997053796,L0_S16_F421
0.000392398716182536,L0_S16_F426
0.00030519237172397867,L0_S17_F431
0.0003423752585369746,L0_S17_F433
8.600339869858174e-05,L0_S18_F435
0.00034559802531257644,L0_S18_F439
0.00026500498078658254,L0_S18_F449
0.00017072017592777302,L0_S19_F453
0.001029138060969986,L0_S19_F455
0.0006537087794651921,L0_S19_F459
5.926269111440727e-05,L0_S20_F461
0.0002078212082442836,L0_S20_F463
6.316021690718462e-05,L0_S20_F466
0.0003613122655005402,L0_S21_F472
0.0003208477177727586,L0_S21_F477
0.0003807115183449805,L0_S21_F482
0.00034316600231952484,L0_S21_F487
0.0001630407580126701,L0_S21_F492
0.0002667543915277357,L0_S21_F497
0.000432705728552154,L0_S21_F502
0.00031611666796184856,L0_S21_F507
0.0003323596068846401,L0_S21_F512
0.000294475513367251,L0_S21_F517
0.0003589129089206733,L0_S21_F522
0.0004507300146735593,L0_S21_F527
0.00028211358135884536,L0_S21_F532
0.00025975081901417847,L0_S21_F537
0.00022634801548336122,L0_S22_F546
0.0003008887342857516,L0_S22_F551
0.00022273927499084299,L0_S22_F556
0.00030489237402197086,L0_S22_F561
